,index,num_faq
288,788,0
289,789,0
290,790,0
291,791,1
292,792,0
293,793,0
294,794,0
295,795,0
296,796,0
297,797,0
298,798,0
299,799,0
300,800,0
301,801,0
302,802,0
303,803,0
304,804,0
305,805,5
306,806,1
307,807,0
308,808,1
309,809,0
310,810,0
311,811,0
312,812,0
313,813,0
314,814,0
315,815,0
316,816,0
317,817,10
318,818,0
319,819,0
320,820,0
321,821,0
322,822,0
323,823,0
324,824,0
325,825,7
326,826,2
327,827,1
328,828,0
329,829,0
330,830,0
331,831,26
332,832,3
333,833,6
334,834,0
335,835,0
336,836,0
337,837,0
338,838,0
339,839,0
340,840,5
341,841,0
342,842,0
343,843,3
344,844,0
345,845,1
346,846,0
347,847,0
348,848,0
349,849,0
350,850,8
351,851,4
352,852,0
353,853,0
354,854,0
355,855,0
356,856,0
357,857,0
358,858,0
359,859,0
360,860,0
361,861,0
362,862,0
363,863,18
364,864,0
365,865,0
366,866,0
367,867,0
368,868,0
369,869,12
370,870,0
371,871,0
372,872,0
373,873,0
374,874,0
375,875,0
376,876,0
377,877,0
378,878,8
379,879,8
380,880,0
381,881,2
382,882,0
383,883,0
384,884,0
385,885,0
386,886,0
387,887,0
388,888,1
389,889,0
390,890,0
391,891,0
392,892,0
393,893,1
394,894,0
395,895,1
396,896,0
397,897,0
398,898,0
399,899,0
400,900,0
401,901,0
402,902,0
403,903,1
404,904,0
405,905,6
406,906,0
407,907,0
408,908,0
409,909,9
410,910,0
411,911,0
412,912,0
413,913,4
414,914,0
415,915,0
416,916,0
417,917,6
418,918,0
419,919,0
420,920,0
421,921,0
422,922,0
423,923,0
424,924,0
425,925,2
426,926,0
427,927,0
428,928,0
429,929,7
430,930,0
431,931,0
432,932,0
433,933,0
434,934,0
435,935,0
436,936,0
437,937,0
438,938,6
439,939,0
440,940,0
441,941,0
442,942,0
443,943,0
444,944,0
445,945,0
446,946,0
447,947,0
448,948,4
449,949,3
450,950,0
451,951,11
452,952,0
453,953,0
454,954,0
455,955,0
456,956,0
457,957,0
458,958,4
459,959,0
460,960,0
461,961,0
462,962,0
463,963,0
464,964,0
465,965,0
466,966,0
467,967,1
468,968,0
469,969,0
470,970,0
471,971,0
472,972,0
473,973,0
474,974,0
475,975,0
476,976,0
477,977,0
478,978,0
479,979,0
480,980,0
481,981,0
482,982,0
483,983,0
484,984,2
485,985,0
486,986,0
487,987,0
488,988,0
489,989,1
490,990,0
491,991,0
492,992,0
493,993,0
494,994,0
495,995,0
496,996,0
497,997,0
498,998,0
499,999,0
