,index,faq
171,371,['   ']
172,372,['   ']
173,373,['   ']
174,374,['   ']
175,375,['   ']
176,376,['   ']
177,377,['   ']
178,378,['   ']
179,379,['   ']
180,380,['   ']
181,381,['   ']
182,382,['   ']
183,383,['   ']
184,384,['   ']
185,385,['   ']
186,386,"["" How can I choose a particular screening, for my pledge? Have look through our list of films. Choose three films: your 1st, 2nd, 3rd, order of preference. After you pledge, please send us a message via Kickstarter, stating your top three music documentaries from our programme, by order of your preference - 1st, 2nd, 3rd. We will allocate screening tickets, on a first pledged, first served basis. Once the campaign has come to an end (6th Sept. 2014) we will allocate a screening to you, depending on availability and the order of preference you have made in your pledge to us. We finalise your booking via Hackney Picturehouse Cinema. Sun, Aug 17 2014 6:42 pm EDT When do I get my pre-ordered ticket? Once the campaign has come to an end, (6th Sept. 2014) you will receive a confirmation email with the movie title, date and the time of screening. You can collect the tickets at the Picturehouse box office on the day of the screening. Sun, Aug 17 2014 6:46 pm EDT How do I buy multiple tickets at the same price level? Just multiply your pledge by the amount of tickets you require at that price level. Eg - 2 Q&A tickets: 2 X £15 = £30. Then pledge £30 at the £15 or more level. We'll figure out your allocation from there! Wed, Aug 20 2014 5:11 am EDT ?  ""]"
187,387,['   ']
188,388,['   ']
189,389,"[' What happens if we unlock the ""Silver Edition"" of the Visionary Tarot? If we unlock the chance to reprint that deck, you will have the OPTION to either choose between SILVER or GOLD. If you would like BOTH decks you can either add $45 to your current pledge OR choose a new pledge option that I will make once they are unlocked. (option 1) After the goal is unlocked, I will be creating a new reward package where you can pledge to receive both the silver and gold Tarot. It is an easiest way to update your pledge. You would just need to go to the main page and find  the new reward box that says ""GOLD + SILVER DECKS"". When you click on the box it will say ""Select this reward instead"". Then you just need to confirm the change. (option 2) If you do NOT want to choose the new reward package (specifically those of you who are early birds or have packages that contain specific items) You can ADD ON the Silver deck by adding $40 to your current pledge. You will then answer in the survey at the end of the campaign that you would like to receive both the Gold and Silver editions. (option 3) If you have pledged for the ""Double Decker"", that price will stay the same because the second deck is already discounted. You may still choose which colors you prefer. However, if you would like to add a THIRD DECK it will only be $35. Let me know if you have any other questions! Sat, May 25 2019 9:29 am EDT How do I add on an item? Add-ons are available for almost all of the reward options. All of these add-ons are listed in the description of each pledge reward. When you are selecting your reward you have the option to pay extra  in order to add other items. IF YOU HAVE NOT PLEDGED YET: Each reward will say something like ""Pledge $45 or more"". After you select your reward you will be taken to a pledge confirmation page. On that page you will see there is a text box where you have the option change the amount of your pledge. (Kickstarter automatically adds shipping to the deck. If you are in the US, the amount will say $50). So if you would like to add on a pin, you would type $60 in the text box for your pledge amount. When you do this, I will be able to see that you have paid extra for your reward. I will message you and ask you which of the add-ons you would like to add to your pledge. IF YOU HAVE ALREADY PLEDGED: When you go to the project page you will see that your pledge is now listed first with a blue banner saying ""you selected"". There is a green banner at the top of the page that says ""you are a backer!"". Click on either of these links and they will take you to another page to ""manage your pledge"". On this page you are able to view your pledge description, change payment methods, cancel, and change the amount of your pledge. To update your pledge amount, click ""CHANGE YOUR PLEDGE"". You are then brought to another page where you can change your pledge amount. You will also be able to see list of the add-ons in your pledge description. If you have any more specific questions please message me! Sat, May 25 2019 9:28 am EDT What are Stretch Goals? Stretch goals are rewards given to everyone when the project surpasses it\'s base goal. When we hit certain milestones (i.e. $7,000) certain rewards are then ""unlocked"". When each reward is unlocked, those are automatically given to every backer for free as a ""thank you"" from me! Sat, May 25 2019 9:28 am EDT When does my card get charged for my reward? You are not charged unless the project surpasses its goal by May 31, 2019. When the project has completed successfully, everyone\'s cards will be charged at the same time the following day. Sat, May 25 2019 9:28 am EDT ?  ']"
190,390,['   ']
191,391,['   ']
192,392,['   ']
193,393,['   ']
194,394,"["" Why is Facebook on the Kickstarter account signup page. Although that causes LOTS of confusion among potential donors, Kickstarter put that link in so that people with Facebook accounts could use it to create the Kickstarter account. Just ignore the Facebook link and enter your information manually. Kickstarter needs your email to enable delivery of your reward, and to connect you to Amazon.com where you make your donation. A step-by-step tutorial for the Kickstarter process can be found at http://bit.ly/VdGWQb. Sun, Aug 10 2014 4:48 pm EDT Are you associated with any veterans organization? Although I'm an independent photo-illustrator (and a veteran), this project has been supported by the Veterans Museum & Memorial Center of San Diego, located in Balboa Park. It's been featured in their newsletter, the Eagle, multiple times. http://conta.cc/1pAMGzP Sat, Aug 16 2014 7:26 pm EDT ?  ""]"
195,395,['   ']
196,396,['   ']
197,397,['   ']
198,398,['   ']
199,399,['   ']
200,400,['   ']
201,401,['   ']
202,402,['   ']
203,403,['   ']
204,404,"["" Does OurRecovery.com cost anything to join? Thu, Jun 4 2015 12:35 pm EDT What type of Website is OurRecovery.com OurRecovery.com is a connection-style Website that allows several different types of people connect with different people, other resources, and needed programs so that people who fit the criteria can focus on getting themselves the help that they need. Thu, Jun 4 2015 12:57 pm EDT Is this a 12-step Program? Thu, Jun 4 2015 12:24 pm EDT Are you required to be a Drug Addict to join OurRecovery.com? Thu, Jun 4 2015 12:29 pm EDT Are you required to be a Recovered Addict to join OurRecovery.com? Thu, Jun 4 2015 12:35 pm EDT Are you required to be an Addict in Recovery to join OurRecovery.com? Thu, Jun 4 2015 12:35 pm EDT Is OurRecovery.com a Dating Website? Thu, Jun 4 2015 12:43 pm EDT Can OurRecovery.com be used as a Dating Website? Thu, Jun 4 2015 12:50 pm EDT What types of connections does OurRecovery.com offer? Our Website offers several different types of connections for the Recovering Drug Addict. Some of those connections are Group Counseling, Individual Counseling, Group Programs, Individual Programs, Narcotics Anonymous Meetings, Alcoholics Anonymous Meetings, 12-Step Compliance Programs, and then Group and Individual Match-Ups*. These are just a few of the different levels of connections that we will be offering Members of OurRecovery.com *Group and Individual Match-Ups are determined based on Public Shared Information on Member's Profiles. Thu, Jun 4 2015 1:13 pm EDT How is OurRecovery.com going to help me with my Addiction/Dependency? Psychological dependency is addressed in many drug rehabilitation programs by attempting to teach the Addict new methods of interacting within a drug-free environment. Our program features many different varieties of interacting with other individuals in the same or similar situation as your own. Thu, Jun 4 2015 1:49 pm EDT ?  ""]"
205,405,['   ']
206,406,"["" How do I add additional items to my reward category? Additional items may be added to any reward tier. Your order: Pinky and Bubba $34 (including US shipping) Add Ping Ping (+$15) Total= $49 (including US shipping) Your initial order will have already added shipping for your initial order. Sat, Jun 29 2019 1:11 pm EDT What is a Stretch Goal? A stretch goal is a way to...um...up the ante by offering more rewards or a bonus for going above the minimum goal of a project. The minimum amount to fund this project is $3600, so any additional funds allows the project creator (that's me!) to put a little more frosting on the cake, so to speak. Sat, Jul 6 2019 6:43 pm EDT ?  ""]"
207,407,['   ']
208,408,['   ']
209,409,['   ']
210,410,['   ']
211,411,['   ']
212,412,['   ']
213,413,['   ']
214,414,['   ']
215,415,['   ']
216,416,['   ']
217,417,['   ']
218,418,"[' Whats included? - Pledge AU$ 1 or more Hold My Place / Create Your Own Bundle Hey lovely! So this reward is designed to help you in two ways. Whatever reason you\'re picking this reward - you\'ll be able to access the backer-only update s These include some live painting videos and tutorials too which is pretty cool! Tue, Jul 9 2019 10:24 am EDT Whats included? -  5 AUD - Digital Artwork Bundle So this reward is a digital item, this means you\'ll be emailed with the files once the campaign ends. It includes 16 artworks which have been scanned from my hand painted designs. These have been made into digital wallpapers that you can enjoy on your phone, tablets, and PC\'s. - Each Design comes in multiple sizes designed specifically to suit all your devices. Of the 16 designs, 14 are in Full HD. and 2 in 4K! All of the higher priced reward tiers already include this item Tue, Jul 9 2019 10:20 am EDT Whats included? - 25 AUD - Glossy Galactic 2021 Calendar This was a reward chosen by the backers from last years campaign. Instead of postcard everyone opted for a calendar. it includes 12+ Gorgeous full gloss A4 artworks (and a full gloss artwork on the cover) bound into a 28 page 2021 calendar Sadly this doesn\'t glow though. Calendar size: when open-297x420mm, when closed-297x210mm It also includes the digital Artwork bundle too! All of the higher priced reward tiers already include one or more of this item :) If you\'d like to add another calendar to your exiting order simply add AU$25 to your existing total :) you\'ll only need to pay for postage once. Tue, Jul 9 2019 10:20 am EDT Whats included? - 155 AUD - Large Glow Paper Print This is a beautiful limited edition print on archival paper that glows in the dark You can choose from 10 different designs - However you don\'t make the selection until after the campaign ends. The dimensions are 500mm x 707 mm | 19.7"" x 27.8"" - this is the total paper size, so it does include a 1"" white border that we use to add the limited edition embossing mark, and its unique print number. This artwork is delivered rolled in a tube, (its the safest way to ship these artworks without damage) As well as the print. I suspect we\'ll be adding to this list once we hit some stretch goals, so please do head back later too :) If you\'d like to add another paper print to your exiting order simply add AU$155 to your existing total :) you\'ll only need to pay for postage once which is AU$18 Tue, Jul 9 2019 10:24 am EDT Whats included? - 250 AUD - Ceiling Stars 2.0 Glow Mural If you are like me, I had glow in the dark ceiling stars as a kid, this is the next level upgrade. Using Multiple Colours of Glow! It really is spectacular to see. Transform your ceiling into a stunning cosmic scene with a milky way mural designed using real star data! Printed on a matt clear pre-adhesive backed material for easy application. Because it has thousands of tiny glue dots at the back, it means you can stick it up with no tools (or well, you may need a ladder) Worth noting that this can only be stuck to a smooth surface that is Teflon free. 7.8ft long / 25.5in wide, 2.4m long / 65cm Wide These are re-position able, so you can peel them off and re-stick them back up. I tested this out myself within a 24 hour window and it worked amazingly even after being stuck up several times. If you\'d like to add another mural to your exiting order simply add AU$250 to your existing total :) you\'ll only need to pay for postage once which is AU$18 Tue, Jul 9 2019 10:29 am EDT Whats included? - 550 AUD - XL Glowing Canvas Print These canvases are huge - and designed for impact. Not only that but the glow so beautifully! As with the paper prints, you can pick from 10 designs - however - you can only pick these after the campaign has ended. Until then you only need to worry about how many you want. They are 1210mm x 855 mm | 47.6"" x 33.6"" - now with the canvases, this does not include the border, that is extra! I\'ll be including around 2 inches on each side so you can comfortably have your piece gallery wrapped :) These rewards are delivered rolled in a tube, trust me, its the safest way to get you your precious artwork without damage.  breathtaking glow in the dark artwork printed to archival fine art standard on high quality canvas ready for you to frame. Once we hit some more stretch goals we\'ll be adding more to the bundle too! If you\'d like to add another mural to your exiting order simply add AU$550 to your existing total :) you\'ll only need to pay for postage once which is AU$18 Tue, Jul 9 2019 10:24 am EDT ?  ']"
219,419,['   ']
220,420,['   ']
221,421,"["" Why Simpliccity? Simpliccity is not just one site, it's multiple, that will span in different interests. Simpliccity will be for anyone, not just a select few who share one interest. Tue, Jan 23 2018 3:59 pm EST What exactly is Simpliccity Social? Simpliccity Social is planned to be a social media site that combines many of the features we see in today's social media yet with an emphasis on blogging. The contributions that you make to this project are mainly for Simpliccity Social. Tue, Jan 23 2018 3:59 pm EST ?  ""]"
222,422,"[' How much does shipping cost? We can ship this book world wide. Shipping starts at $8 AUD for within Australia, $18 for USA and $23 for everywhere else. Fri, Feb 15 2019 6:20 pm EST How can I get a signed, numbered and dedicated book? Just be one of the first 40 people to back the book on ANY level and your book will be personally signed, numbered and have a thank you dedication. Fri, Feb 15 2019 6:20 pm EST Will my book be sent with a tracking number? No, but we use a service we know and trust. To keep the shipping cost down we have chosen an economy option. However if you would prefer to have tracking it is only an additional $5 AUD. Please message us privately before March 31st to request this upgraded shipping and we can arrange the additional fee via PayPal. Fri, Feb 15 2019 6:20 pm EST Will my book come signed? Yes! Each book purchased here on the campaign will be signed by Martin. The first 50 backers will have a numbered and dedicated edition. Also if the $7500 stretch goal is reached, ALL booked with also come with a special shiny silver kickstarter backer edition seal on the intro page. Fri, Feb 15 2019 8:23 pm EST ?  ']"
223,423,['   ']
224,424,['   ']
225,425,['   ']
226,426,['   ']
227,427,['   ']
228,428,['   ']
229,429,['   ']
230,430,['   ']
231,431,['   ']
232,432,['   ']
233,433,['   ']
234,434,['   ']
235,435,['   ']
236,436,['   ']
237,437,['   ']
238,438,['   ']
239,439,['   ']
240,440,['   ']
241,441,['   ']
242,442,['   ']
243,443,['   ']
244,444,['   ']
245,445,['   ']
246,446,['   ']
247,447,['   ']
248,448,['   ']
249,449,['   ']
250,450,"[' Je veux vous aider à financer votre projet mais je ne veux pas de contrepartie. Est-il possible de juste faire un don? C\'est tout à fait possible ! Il vous suffit de cliquer sur ""Je soutiens ce projet"" puis ""S\'engager sans récompense"". Vous pourrez en suite choisir le montant de votre choix. Wed, Oct 5 2016 2:11 am EDT Et si je veux modifier le montant que j\'ai engagé ? Vous pouvez modifier ou annuler votre engagement à tout moment avant le Jeu 3 nov. 2016 23:46 CEST Wed, Oct 5 2016 2:24 am EDT À quel moment ma carte est-elle débitée ? Si le projet est financé intégralement, votre carte sera débitée le Jeu 3 nov. 2016 23:46 CEST, en même temps que tous les autres contributeurs de ce projet. Wed, Oct 5 2016 2:24 am EDT Si ce projet est financé, comment est-ce que je reçois ma récompense ? Terremoto vous enverra un questionnaire par e-mail quand votre récompense sera prête, pour obtenir les informations de livraison nécessaires (adresse postale, taille de T-shirt, etc.). Wed, Oct 5 2016 2:24 am EDT ?  ']"
251,451,['   ']
252,452,['   ']
253,453,['   ']
254,454,['   ']
255,455,"[' If a printed photo is included in my reward, will I be able to chose the image I want? Thu, Dec 15 2016 10:03 pm EST ?  ']"
256,456,['   ']
257,457,['   ']
258,458,['   ']
259,459,['   ']
260,460,['   ']
261,461,['   ']
262,462,['   ']
263,463,['   ']
264,464,['   ']
265,465,['   ']
266,466,['   ']
267,467,['   ']
268,468,['   ']
269,469,"["" When do I pay? You pay at the end of the campaign! On August 24th you will be charged the amount you pledge for if the kickstarter is successful. Pledge early, there are early bird specials available in limited quantities! Sat, Jul 28 2018 10:52 am EDT What if it isn't successful? You will not be charged! Sat, Jul 28 2018 10:52 am EDT What are Early bird specials? Early bird specials are pins with savings! You will get a couple dollars off of pins if you act fast! Sat, Jul 28 2018 10:52 am EDT Do I get choice of any pin? You will have the choice of any pin that has reached the initial or stretch goal funding it needs. If we do not reach the pin you wanted to get, you will also have the option of choosing one of my previous pins! Sat, Jul 28 2018 10:52 am EDT What are stretch goals? Stretch goals are goals that can be obtained after the initial funding to get some really cool stuff available! Sat, Jul 28 2018 10:52 am EDT Do I need the money in my account when I pledge? Nope! Money doesn't come out of your account until the campaign is over and is successful in it's funding and will not charge your card prior to August 24th. Sat, Jul 28 2018 10:56 am EDT Which pins will I receive if I pledged for more than one pin? You will have a choice of any pins that are available. If we do not reach the first stretch goal unlocking more pins, you will have the option to have one of my previously made pins. Sat, Jul 28 2018 10:56 am EDT How will I know if my pin is available? I have created stretch goals for each pin after the initial pin, if the goal is reached they will be unlocked and available for you. When these landmark goals have been reached I will make an update announcing their status of being unlocked. Sat, Jul 28 2018 10:56 am EDT Why should I back this kickstarter if it's already funded? You are still eligible back this project & receive pins even if it has been successfully funded! There is no limit to the amount of funding that can be made, and I have stretch goals to be obtained, come join the fun! Sat, Jul 28 2018 10:56 am EDT ?  ""]"
270,470,['   ']
271,471,['   ']
272,472,['   ']
273,473,['   ']
274,474,['   ']
275,475,['   ']
276,476,['   ']
